,Date,Org Code,Org name,A&E attendances Type 1,Attendances over 4hrs Type 1,Month,Year
0,2022-04-01,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,7012,2796,04,2022
1,2022-04-01,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5851,2124,04,2022
2,2022-04-01,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,9376,2939,04,2022
3,2022-04-01,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,13642,3732,04,2022
4,2022-04-01,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,5012,1103,04,2022
5,2022-04-01,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5235,3252,04,2022
6,2022-04-01,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,7752,3109,04,2022
7,2022-04-01,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,7308,0,04,2022
8,2022-04-01,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,11113,6066,04,2022
9,2022-04-01,RPA,MEDWAY NHS FOUNDATION TRUST,7632,3236,04,2022
10,2022-04-01,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,15452,8820,04,2022
11,2022-04-01,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,10199,5180,04,2022
12,2022-04-01,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,12571,0,04,2022
13,2022-04-01,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",11726,7909,04,2022
14,2022-04-01,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,6619,0,04,2022
15,2022-04-01,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,12751,3881,04,2022
16,2022-04-01,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,5348,767,04,2022
17,2022-04-01,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,5400,2130,04,2022
18,2022-04-01,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,9599,3422,04,2022
19,2022-04-01,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,11411,5275,04,2022
20,2022-04-01,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6622,3011,04,2022
21,2022-04-01,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,5711,1928,04,2022
22,2022-04-01,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,19085,9051,04,2022
23,2022-04-01,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,7412,4681,04,2022
24,2022-04-01,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5412,1482,04,2022
25,2022-04-01,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,17878,0,04,2022
26,2022-04-01,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,7011,2295,04,2022
27,2022-04-01,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9097,0,04,2022
28,2022-04-01,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,12418,7027,04,2022
29,2022-04-01,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,12320,4512,04,2022
30,2022-04-01,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,9400,3765,04,2022
31,2022-04-01,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,11716,3402,04,2022
32,2022-04-01,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,8424,1192,04,2022
33,2022-04-01,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,11089,4645,04,2022
34,2022-04-01,RBK,WALSALL HEALTHCARE NHS TRUST,7453,2776,04,2022
35,2022-04-01,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,9480,4723,04,2022
36,2022-04-01,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,4428,310,04,2022
37,2022-04-01,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,5291,3147,04,2022
38,2022-04-01,RJN,EAST CHESHIRE NHS TRUST,4025,1820,04,2022
39,2022-04-01,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,13680,6753,04,2022
40,2022-04-01,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,9427,2410,04,2022
41,2022-04-01,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,13939,6025,04,2022
42,2022-04-01,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,3951,1849,04,2022
43,2022-04-01,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,7495,3748,04,2022
44,2022-04-01,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4235,1641,04,2022
45,2022-04-01,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,10027,3312,04,2022
46,2022-04-01,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,7523,0,04,2022
47,2022-04-01,RKE,WHITTINGTON HEALTH NHS TRUST,8787,2016,04,2022
48,2022-04-01,RMC,BOLTON NHS FOUNDATION TRUST,9541,4447,04,2022
49,2022-04-01,RN7,DARTFORD AND GRAVESHAM NHS TRUST,10384,3505,04,2022
50,2022-04-01,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,9722,1594,04,2022
51,2022-04-01,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",8210,3430,04,2022
52,2022-04-01,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,31037,14274,04,2022
53,2022-04-01,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,7895,2780,04,2022
54,2022-04-01,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,12371,2990,04,2022
55,2022-04-01,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,3765,0,04,2022
